door	478
dream	354
driver	380
duck	505
during	626
each	653
eagle	507
early	680
earth	448
easily	328
eclipse	248
economics	411
ecuador	200
egg	521
egypt	200
either	611
elasticsearch	302
electron	261
elephant	489
elixir	520
elm	275
emacs	257
ember	432
empty	289
encapsulation	278
encoding	277
encryption	196
end	662
endpoint	160
energy	346
engineer	378
enough	637
enumeration	276
eritrea	200
erlang	515
esbuild	443
eslint	434
estonia	200
eswatini	200
etcd	287
ethiopia	200
even	811
evening	592
everyone	604
everything	607
everywhere	600
exactly	319
example	421
exception	275
expected	729
experience	420
express	417
expression	274
family	703
famous	269
farmer	381
fastapi	381
fastify	411
father	709
fear	352
february	583
fedora	224
fell	726
felt	781
few	677
fiji	200
finally	327
finland	200
fire	449
firefox	191
firewall	195
first	814
fish	236
flask	384
floor	475
flutter	255
followed	751
following	663
for	890
forest	462
forth	295
fortran	500
found	783
foundation	270
fox	492
framework	159
france	200
free	296
freebsd	212
fresh	272
friday	569
friend	404
frog	500
from	877
frontend	158
fsharp	405
full	288
fullstack	156
function	273
gabon	200
gambia	200
garbage	272
garden	472
garlic	539
gateway	194
gatsby	396
gave	782
gcc	362
generator	271
generic	270
georgia	200
germany	200
get	855
ghana	200
giraffe	488
girl	388
git	500
github	497
gitlab	494
give	805
glass	444
go	853
goal	356
goat	510
godot	234
golang	560
gold	443
good	837
government	689
gradle	383
grafana	275
grape	552
graphene	294
graphql	370
gray	558
great	669
greece	200
green	563
grenada	200
grew	743
groovy	430
group	701
gtk	249
guatemala	200
guinea	200
guyana	200
had	795
haiti	200
hand	698
happened	767
happily	329
happy	303
hard	278
has	796
hash	269
hashing	193
hashmap	268
haskell	540
have	892
haxe	240
he	886
health	409
heap	267
heapsort	179
heard	776
heat	341
heavy	287
height	335
helm	479
her	873
hibernate	363
high	665
hill	463
him	844
his	879
history	417
home	713
honduras	200
honey	517
hope	355
horrible	313
horse	514
hostname	155
hot	286
hour	590
house	714
how	817
however	636
html	365
hungary	200
hungry	299
husband	402
hyper	351
iceland	200
idea	424
idris	260
if	858
immutable	266
important	678
impossible	310
in	894
included	759
index	265
india	200
indonesia	200
inheritance	264
inside	625
integer	263
intellij	251
interface	262
interpreter	261
into	840
ios	197
iran	200
iraq	200
ireland	200
iron	441
is	801
island	460
israel	200
it	891
italy	200
iterator	260
its	825
jamaica	200
january	584
japan	200
java	580
javac	350
javadoc	154
javascript	600
jenkins	461
jest	428
jordan	200
joy	350
jquery	426
json	345
juice	529
julia	505
july	579
june	580
jupyter	309
just	845
kafka	296
kazakhstan	200
kenya	200
kept	775
keras	315
kernel	259
keyboard	192
keystroke	153
kibana	272
king	387
kiribati	200
kitchen	473
knew	787
know	843
knowledge	419
koa	414
kotlin	575
kubernetes	485
kuwait	200
kyrgyzstan	200
lake	467
lambda	258
language	430
laos	200
laravel	372
large	682
last	671
latency	257
later	634
latex	320
latvia	200
lawyer	377
leader	371
lean	245
learned	756
lebanon	200
led	754
left	780
lemon	551
length	334
lesotho	200
less	350
letter	432
levenshtein	191
liberia	200
library	256
libya	200
liechtenstein	200
light	345
like	848
lime	550
linker	255
linux	233
lion	496
lisp	475
lithuania	200
little	668
lived	770
llvm	356
localhost	152
lock	254
lodash	423
logstash	269
long	670
look	828
loop	253
lost	762
loud	280
loudly	324
love	353
loved	737
lua	510
luxembourg	200
macos	203
macro	252
madagascar	200
made	792
mainframe	189
make	850
malawi	200
malaysia	200
maldives	200
mali	200
malta	200
malware	190
man	391
manager	369
mango	549
many	651
march	582
mariadb	314
markdown	325
market	367
materialize	267
math	415
matlab	425
matplotlib	327
mauritania	200
mauritius	200
maven	386
maybe	633
me	852
medicine	408
meeting	361
melon	548
member	370
memory	251
mergesort	180
meson	368
met	760
metadata	151
metal	446
method	250
mexico	200
micronesia	200
microservice	187
middleware	188
milk	532
minute	591
mobx	300
mocha	425
modern	271
module	249
moldova	200
monaco	200
monad	186
monday	573
money	366
mongodb	308
mongolia	200
mongoose	282
monkey	490
montenegro	200
month	589
moon	456
morning	594
morocco	200
most	803
mother	710
mountain	464
mouse	509
moved	771
movie	436
mozambique	200
much	652
music	439
mutation	185
mutex	248
my	868
myanmar	200
mysql	317
namespace	247
namibia	200
natural	266
nauru	200
nearly	320
necessary	309
neighbour	403
neither	610
neovim	260
nepal	200
nest	408
netherlands	200
network	246
never	657
new	810
next	681
nginx	338
nicaragua	200
niger	200
nigeria	200
night	687
nim	440
ninja	371
no	846
nobody	603
node	347
noise	342
normal	267
norway	200
not	889
nothing	609
november	575
now	829
nowhere	599
npm	410
number	688
numpy	336
nurse	406
nuxt	402
object	245
objectivec	390
ocaml	535
ocean	466
octave	420
october	576
of	897
offered	739
office	362
offline	150
often	640
old	667
oman	200
on	888
one	867
onion	540
online	149
only	827
opcode	148
openbsd	209
opencv	306
opened	742
opensearch	299
operator	244
optimization	184
or	871
orange	565
other	832
our	816
out	859
outside	624
over	824
overflow	243
owl	506
own	649
package	242
page	426
paid	761
pakistan	200
palau	200
panama	200
pandas	333
paper	482
paragraph	428
paraguay	200
parcel	440
parser	241
part	697
pascal	490
passed	720
password	147
pasta	527
pattern	240
payload	183
peace	349
peach	547
pear	546
pen	484
pencil	483
people	841
pepper	538
perhaps	630
perl	550
person	392
peru	200
philippines	200
photo	434
php	545
physics	414
picture	435
pig	512
pilot	379
pink	556
pip	395
pipeline	239
pizza	526
place	696
plan	359
play	684
player	373
playwright	416
plugin	146
plum	545
pnpm	404
podman	482
poetry	392
point	686
pointer	238
poland	200
police	382
politics	410
polymorphism	237
poor	294
popular	307
portugal	200
possible	311
postgres	323
postgresql	320
potato	542
power	347
powershell	410
preact	435
prettier	431
price	365
prince	385
princess	384
prisma	288
probably	318
problem	699
process	236
program	691
project	358
prolog	460
prometheus	278
protocol	235
provided	765
proxy	182
public	676
pulled	715
puppet	470
purescript	270
purple	561
python	590
pytorch	318
qatar	200
qt	252
queen	386
query	145
question	690
queue	234
quickly	331
quicksort	181
quiet	281
quietly	325
quite	632
rabbitmq	293
racket	465
radix	177
rails	378
rain	453
raised	721
rayon	354
reached	724
react	450
read	747
really	631
reason	423
recursion	233
red	566
redis	326
redux	303
refactor	144
reference	232
regex	231
register	230
remained	723
remembered	738
remix	399
replica	143
report	360
reported	717
repository	229
required	718
result	422
rice	528
rich	295
right	672
river	468
road	470
rocket	342
rollback	142
rollup	449
romania	200
roof	474
room	711
rough	276
router	176
ruby	555
runtime	228
russia	200
rust	585
rustc	353
rustup	398
rwanda	200
rxjs	297
sad	302
safari	188
safe	293
said	793
salad	524
salt	537
same	674
samoa	200
sandbox	175
sass	355
sat	764
saturday	568
saw	788
say	874
scala	530
scheduler	227
schema	226
scheme	470
school	705
science	418
scipy	330
script	141
sdl	243
sea	465
seaborn	324
season	588
sed	225
see	833
seemed	778
selenium	413
semaphore	225
senegal	200
sent	730
sentence	429
sentry	266
september	577
sequelize	285
serbia	200
serde	357
serialization	224
served	732
server	223
session	140
set	757
seychelles	200
shape	337
sharding	174
shark	504
she	872
sheep	511
should	643
showed	773
silver	442
simply	322
sinatra	375
singapore	200
singer	374
sister	399
size	338
sklearn	312
sky	458
slovakia	200
slovenia	200
slowly	330
small	683
smalltalk	455
smooth	277
snake	501
snapshot	173
snow	452
so	861
socket	222
soft	279
sold	719
soldier	383
solid	438
solidity	315
somalia	200
some	836
someone	605
something	608
somewhere	601
son	397
song	438
sound	344
soup	525
sour	273
sourcemap	139
spain	200
special	306
speed	339
spent	744
spider	497
spoke	748
spreadsheet	172
spring	366
sql	375
sqlite	311
stack	221
star	455
state	704
statement	220
stayed	727
still	644
stone	447
stood	763
stopped	750
storm	450
story	433
strange	268
strawberry	544
street	471
string	219
strong	305
struct	218
student	702
subnet	138
subroutine	171
such	650
sudan	200
suddenly	326
sugar	536
suggested	722
summer	587
sun	457
sunday	567
superscalar	170
suriname	200
svelte	441
sweden	200
sweet	275
swift	570
switzerland	200
symfony	369
syntax	217
syria	200
system	692
table	479
tailwind	279
tajikistan	200
take	842
tanzania	200
tauri	258
tcl	235
tea	530
teacher	405
team	357
template	216
tensor	137
tensorflow	321
terminal	169
terraform	476
terrible	314
thailand	200
than	831
that	893
the	900
their	863
them	834
then	830
there	864
these	806
they	876
think	823
thirsty	298
this	881
those	645
though	615
thought	786
thread	215
threejs	264
through	648
throughput	214
thursday	570
tiger	495
time	847
timestamp	136
tired	300
tmux	242
to	898
today	596
together	639
togo	200
token	213
tokio	360
told	785
tomato	543
toml	335
tomorrow	595
tonga	200
took	790
toward	623
traefik	329
transaction	212
travis	458
tree	211
trie	210
tried	777
tuesday	572
tunisia	200
tuple	209
turkey	200
turkmenistan	200
turned	772
tuvalu	200
two	818
type	208
typescript	595
typing	167
typo	168
ubuntu	230
uganda	200
ukraine	200
uncle	396
under	656
underscore	420
understood	753
unicode	207
unittest	166
unity	240
unless	614
unreal	237
until	613
up	860
upload	135
uruguay	200
us	802
use	819
username	134
uzbekistan	200
vagrant	464
validation	133
vanuatu	200
variable	206
vault	281
vector	205
venezuela	200
verilog	305
version	204
very	642
vhdl	310
vietnam	200
vim	263
virtual	203
visualbasic	285
vite	446
vitest	422
voice	343
vscode	254
vue	444
waited	733
walked	741
wall	476
want	809
war	348
warm	285
was	800
watched	752
water	712
way	812
we	875
weak	304
webassembly	380
webhook	132
webpack	452
websocket	202
wednesday	571
week	694
weight	336
well	813
went	791
were	798
whale	503
what	862
when	851
where	647
whether	612
which	854
while	655
white	559
who	856
widget	131
wife	401
wildcard	130
will	869
wind	451
window	477
windows	206
winner	372
winter	585
with	887
within	622
without	621
wolf	493
woman	390
won	740
wonderful	315
wood	445
word	431
work	815
workflow	129
world	706
would	865
writer	375
wrote	766
wxwidgets	246
xcode	245
xml	330
yaml	340
yarn	407
year	839
yellow	564
yemen	200
yesterday	597
you	884
young	679
your	838
zambia	200
zebra	487
zig	445
zimbabwe	200
zookeeper	290
zsh	239
